Year,Residential (Unit : Terajoule),Residential Percentage (%),Commercial (Unit : Terajoule),Commercial Percentage (%),Industrial (Unit : Terajoule),Industrial Percentage (%),Transport (Unit : Terajoule),Transport Percentage (%)
2011,58857,21,116013,42,14155,5,90498,32
2012,60037,21,118330,42,13655,5,90033,32
2013,58582,21,118209,42,13204,5,89593,32
2014,62103,22,119615,42,13028,5,88278,31
2015,60439,21,120417,43,13054,5,88304,31
2016,61704,22,120458,43,12294,4,88351,31
2017,60476,22,120408,43,12722,5,86557,31
2018,61556,22,122220,43,12829,5,85054,30
2019,61021,22,123001,44,12274,4,85877,30
2020,66413,24,114512,42,12161,4,78514,29
2021,66721,24,120083,43,11945,4,81158,29
